Insert into UfAffiliate values(95947099, 'SDorgan9899@ufl.edu', '408-866-5778', 'N', 'F', '0', 'SonDorgan');
Insert into UfAffiliate values(36146154, 'FThomsen5429@ufl.edu', '656-155-2468', 'Y', 'P', '3107', 'FranklinThomsen');
Insert into UfAffiliate values(43972936, 'JPreli4520@ufl.edu', '263-865-9165', 'Y', 'E', '3108', 'JasonPreli');
Insert into UfAffiliate values(91885170, 'THysquierdo2055@ufl.edu', '594-520-9629', 'N', 'P', '3109', 'TemikaHysquierdo');
Insert into UfAffiliate values(15757980, 'DBethurem3870@ufl.edu', '762-239-7412', 'N', 'F', '3110', 'DeberaBethurem');
Insert into UfAffiliate values(62052274, 'JRyon9481@ufl.edu', '454-158-2588', 'Y', 'P', '3111', 'JosieRyon');
Insert into UfAffiliate values(96818318, 'FJeanty6685@ufl.edu', '208-526-4003', 'N', 'F', '3112', 'FredericJeanty');
Insert into UfAffiliate values(16125229, 'RKlosowski25@ufl.edu', '443-360-3562', 'N', 'F', '3113', 'RebbeccaKlosowski');
Insert into UfAffiliate values(74236320, 'JMcfaddin5227@ufl.edu', '629-778-2400', 'Y', 'P', '3114', 'JuleneMcfaddin');
Insert into UfAffiliate values(83566633, 'AMosha8280@ufl.edu', '384-116-5640', 'N', 'F', '3115', 'AliMosha');
Insert into UfAffiliate values(47740316, 'KKosel8767@ufl.edu', '129-710-9231', 'N', 'F', '3116', 'KathernKosel');
Insert into UfAffiliate values(14356754, 'AManship9609@ufl.edu', '824-563-4017', 'N', 'F', '3117', 'AnnemarieManship');
Insert into UfAffiliate values(30518095, 'SDouga3004@ufl.edu', '181-463-4836', 'N', 'P', '3118', 'SavannahDouga');
Insert into UfAffiliate values(47435992, 'SWilmer897@ufl.edu', '932-216-2641', 'Y', 'E', '3119', 'SilvaWilmer');
Insert into UfAffiliate values(88880377, 'MRichters8288@ufl.edu', '374-529-4928', 'N', 'F', '3120', 'MarcellRichters');
Insert into UfAffiliate values(73106570, 'BHonus5701@ufl.edu', '161-920-7492', 'N', 'F', '3121', 'BarryHonus');
Insert into UfAffiliate values(40973866, 'SPfund9173@ufl.edu', '729-822-5111', 'N', 'F', '3122', 'SherleyPfund');
Insert into UfAffiliate values(96790754, 'FStrahl694@ufl.edu', '547-813-8460', 'N', 'F', '3123', 'FreddieStrahl');
Insert into UfAffiliate values(11083053, 'RMomaya3259@ufl.edu', '278-600-3889', 'N', 'F', '3124', 'RetaMomaya');
Insert into UfAffiliate values(53098379, 'SBlea7833@ufl.edu', '675-270-4444', 'Y', 'P', '3125', 'SonBlea');
Insert into UfAffiliate values(13175823, 'NSchwindt2124@ufl.edu', '337-984-8270', 'N', 'F', '3126', 'NickSchwindt');
Insert into UfAffiliate values(31453784, 'YFlagler2003@ufl.edu', '736-337-3897', 'Y', 'P', '3127', 'YoungFlagler');
Insert into UfAffiliate values(22704295, 'CNori9327@ufl.edu', '376-176-8544', 'Y', 'P', '3128', 'CyndyNori');
Insert into UfAffiliate values(86336185, 'AYim2908@ufl.edu', '877-736-2602', 'N', 'F', '3129', 'AlexisYim');
Insert into UfAffiliate values(56212607, 'BMizenko1228@ufl.edu', '610-546-4600', 'N', 'F', '3130', 'BriceMizenko');
Insert into UfAffiliate values(47335909, 'VSantucci5790@ufl.edu', '334-365-6342', 'N', 'P', '3131', 'VondaSantucci');
Insert into UfAffiliate values(40997220, 'ANusz5180@ufl.edu', '534-107-7078', 'N', 'E', '3132', 'ArtNusz');
Insert into UfAffiliate values(44879879, 'VNealeigh6944@ufl.edu', '515-258-5566', 'N', 'F', '3133', 'VioletNealeigh');
Insert into UfAffiliate values(10052326, 'BBrians5973@ufl.edu', '157-425-3845', 'N', 'F', '3134', 'BlancheBrians');
Insert into UfAffiliate values(54768240, 'AHoffine4513@ufl.edu', '843-485-6255', 'N', 'F', '3135', 'ArnulfoHoffine');
Insert into UfAffiliate values(35332312, 'JDurrenberger8596@ufl.edu', '709-407-5336', 'N', 'P', '3136', 'JonaDurrenberger');
Insert into UfAffiliate values(40215991, 'EMackney7430@ufl.edu', '936-923-8936', 'N', 'F', '3137', 'ExieMackney');
Insert into UfAffiliate values(32562019, 'ARublee1904@ufl.edu', '739-120-7384', 'N', 'P', '3138', 'AshlyRublee');
Insert into UfAffiliate values(55453220, 'RMakar476@ufl.edu', '587-353-4507', 'N', 'F', '3139', 'RussMakar');
Insert into UfAffiliate values(68176421, 'NTouney9730@ufl.edu', '748-824-4891', 'Y', 'E', '3140', 'NigelTouney');
Insert into UfAffiliate values(81682491, 'DHollandsworth9582@ufl.edu', '132-236-3142', 'N', 'F', '3141', 'DeloraHollandsworth');
Insert into UfAffiliate values(57666149, 'LSpragins5927@ufl.edu', '733-133-2946', 'N', 'F', '3142', 'LonnaSpragins');
Insert into UfAffiliate values(59793006, 'MBaskins285@ufl.edu', '809-135-1636', 'N', 'F', '3143', 'MarcelineBaskins');
Insert into UfAffiliate values(37004268, 'WPacetti9342@ufl.edu', '707-452-6438', 'Y', 'E', '3144', 'WilliemaePacetti');
Insert into UfAffiliate values(54569751, 'EWhiby7861@ufl.edu', '214-586-6600', 'N', 'F', '3145', 'EldonWhiby');
Insert into UfAffiliate values(12354546, 'CJesenovec2798@ufl.edu', '743-172-4844', 'N', 'F', '3146', 'CharlieJesenovec');
Insert into UfAffiliate values(21503326, 'BScoggin1656@ufl.edu', '622-968-3814', 'N', 'F', '3147', 'BookerScoggin');
Insert into UfAffiliate values(12982501, 'ASickmeir4595@ufl.edu', '856-230-7592', 'N', 'F', '3148', 'AguedaSickmeir');
Insert into UfAffiliate values(25333199, 'RWallie922@ufl.edu', '625-461-2405', 'N', 'F', '3149', 'RobbieWallie');
Insert into UfAffiliate values(94750608, 'KBolins6980@ufl.edu', '883-912-1783', 'N', 'F', '3150', 'KerryBolins');
Insert into UfAffiliate values(79414475, 'BTinnin1081@ufl.edu', '328-831-6082', 'N', 'F', '3151', 'BarbarTinnin');
Insert into UfAffiliate values(33983481, 'MBlaszczyk6890@ufl.edu', '928-850-6385', 'N', 'F', '3152', 'MilfordBlaszczyk');
Insert into UfAffiliate values(71854609, 'PMazzini6506@ufl.edu', '107-700-5884', 'N', 'F', '3153', 'PaulettaMazzini');
Insert into UfAffiliate values(60606253, 'ZHolsman5777@ufl.edu', '672-230-6692', 'N', 'F', '3154', 'ZackaryHolsman');
Insert into UfAffiliate values(69923029, 'TLucero1352@ufl.edu', '522-805-1528', 'N', 'P', '3155', 'TysonLucero');
Insert into UfAffiliate values(23089229, 'ZVelten141@ufl.edu', '946-925-9827', 'N', 'F', '3156', 'ZulmaVelten');
Insert into UfAffiliate values(49500688, 'BFlight6544@ufl.edu', '157-639-3177', 'Y', 'P', '3157', 'BriceFlight');
Insert into UfAffiliate values(99087447, 'JMolyneux4336@ufl.edu', '451-692-2128', 'N', 'F', '3158', 'JanettMolyneux');
Insert into UfAffiliate values(64554409, 'FAngles42@ufl.edu', '949-937-3838', 'N', 'F', '3159', 'FelixAngles');
Insert into UfAffiliate values(65803512, 'RToxey0@ufl.edu', '192-310-9738', 'N', 'F', '3160', 'RolfToxey');
Insert into UfAffiliate values(37260586, 'ORuberte8380@ufl.edu', '434-337-8701', 'N', 'F', '3161', 'OswaldoRuberte');
Insert into UfAffiliate values(41521778, 'ASchreckengost4205@ufl.edu', '971-837-9863', 'N', 'F', '3162', 'AlvertaSchreckengost');
Insert into UfAffiliate values(21116493, 'MShell2689@ufl.edu', '309-294-1109', 'N', 'F', '3163', 'MelonyShell');
Insert into UfAffiliate values(98065567, 'LWashum6168@ufl.edu', '613-962-5676', 'N', 'F', '3164', 'LesWashum');
Insert into UfAffiliate values(78691176, 'OAltenhofen7199@ufl.edu', '840-660-4667', 'N', 'P', '3165', 'OletaAltenhofen');
Insert into UfAffiliate values(63344606, 'GMenke9259@ufl.edu', '590-355-9312', 'Y', 'P', '3166', 'GeorgeannaMenke');
Insert into UfAffiliate values(78250925, 'BPiehler7236@ufl.edu', '686-761-5977', 'N', 'E', '3167', 'BarbarPiehler');
Insert into UfAffiliate values(34562152, 'KHurtig3460@ufl.edu', '173-682-6713', 'N', 'F', '3168', 'KarolineHurtig');
Insert into UfAffiliate values(26860009, 'BSansotta3222@ufl.edu', '461-834-8384', 'N', 'F', '3169', 'BrittSansotta');
Insert into UfAffiliate values(97662786, 'BValero9688@ufl.edu', '461-436-5770', 'N', 'F', '3170', 'BennieValero');
Insert into UfAffiliate values(96163460, 'GDougal5816@ufl.edu', '717-821-2297', 'N', 'F', '3171', 'GuadalupeDougal');
Insert into UfAffiliate values(56142496, 'KFinizio6073@ufl.edu', '247-574-8218', 'N', 'F', '3172', 'KrystaFinizio');
Insert into UfAffiliate values(87588832, 'KSteinhauser5384@ufl.edu', '776-322-1027', 'N', 'F', '3173', 'KeliSteinhauser');
Insert into UfAffiliate values(82770967, 'CSandus5835@ufl.edu', '961-833-3026', 'N', 'P', '3174', 'ChasitySandus');
Insert into UfAffiliate values(16836938, 'DGuenette5173@ufl.edu', '504-110-8885', 'N', 'F', '3175', 'DivinaGuenette');
Insert into UfAffiliate values(90461018, 'TNewbell4248@ufl.edu', '912-181-4066', 'N', 'F', '3176', 'ToryNewbell');
Insert into UfAffiliate values(24007764, 'DKnobloch5938@ufl.edu', '685-101-8452', 'N', 'F', '3177', 'DylanKnobloch');
Insert into UfAffiliate values(95810575, 'NWartenberg3471@ufl.edu', '485-541-1442', 'N', 'F', '3178', 'NieshaWartenberg');
Insert into UfAffiliate values(62299982, 'LGoodier6806@ufl.edu', '509-819-6461', 'N', 'F', '3179', 'LonnieGoodier');
Insert into UfAffiliate values(89183988, 'HColander9951@ufl.edu', '292-964-3973', 'N', 'P', '3180', 'HyonColander');
Insert into UfAffiliate values(72692385, 'LChebahtah7628@ufl.edu', '824-575-2407', 'N', 'F', '3181', 'LorenzaChebahtah');
Insert into UfAffiliate values(57667004, 'LRoderiques7359@ufl.edu', '915-705-3149', 'N', 'F', '3182', 'LannyRoderiques');
Insert into UfAffiliate values(99070285, 'DWiltgen7403@ufl.edu', '588-251-8436', 'N', 'F', '3183', 'DickWiltgen');
Insert into UfAffiliate values(14451867, 'JWickes27@ufl.edu', '619-141-7448', 'N', 'F', '3184', 'JesusWickes');
Insert into UfAffiliate values(94890249, 'CStimmel3994@ufl.edu', '829-662-7294', 'N', 'F', '3185', 'CarolyneStimmel');
Insert into UfAffiliate values(63837162, 'WDellaca7484@ufl.edu', '921-980-7787', 'N', 'F', '3186', 'WoodrowDellaca');
Insert into UfAffiliate values(96719087, 'HWahlberg4918@ufl.edu', '550-567-7314', 'Y', 'E', '3187', 'HelgaWahlberg');
Insert into UfAffiliate values(78102998, 'ABottini1433@ufl.edu', '343-965-2433', 'N', 'F', '3188', 'AnnalisaBottini');
Insert into UfAffiliate values(46330727, 'BStephens329@ufl.edu', '228-370-1388', 'Y', 'E', '3189', 'BellStephens');
Insert into UfAffiliate values(43101205, 'APagon6301@ufl.edu', '466-947-5638', 'N', 'F', '3190', 'AntoinePagon');
Insert into UfAffiliate values(31298218, 'EReksten5092@ufl.edu', '197-353-3852', 'N', 'F', '3191', 'EbonieReksten');
Insert into UfAffiliate values(83261766, 'SRillera6489@ufl.edu', '248-961-6967', 'N', 'F', '3192', 'StephanieRillera');
Insert into UfAffiliate values(24371015, 'ECozine8589@ufl.edu', '182-756-2670', 'N', 'F', '3193', 'EboniCozine');
Insert into UfAffiliate values(64895056, 'DHosford9304@ufl.edu', '716-336-5545', 'N', 'F', '3194', 'DevinHosford');
Insert into UfAffiliate values(87529320, 'MPinela5475@ufl.edu', '160-683-7593', 'N', 'F', '3195', 'MegPinela');
Insert into UfAffiliate values(55571507, 'DPelc4262@ufl.edu', '131-202-4734', 'Y', 'P', '3196', 'DanniePelc');
Insert into UfAffiliate values(31146420, 'ABruun7261@ufl.edu', '249-968-7909', 'N', 'F', '3197', 'AnetteBruun');
Insert into UfAffiliate values(89774925, 'BVostal3419@ufl.edu', '252-705-2775', 'N', 'F', '3198', 'BurtonVostal');
Insert into UfAffiliate values(80107833, 'PShaffer3196@ufl.edu', '207-901-1731', 'Y', 'E', '3199', 'PhilomenaShaffer');
Insert into UfAffiliate values(34745947, 'KDagner1629@ufl.edu', '417-123-5598', 'N', 'F', '3200', 'KasiDagner');
Insert into UfAffiliate values(95685046, 'KHandcock6595@ufl.edu', '257-453-9027', 'N', 'F', '3201', 'KarlHandcock');
Insert into UfAffiliate values(60892895, 'AWalton6409@ufl.edu', '230-435-2115', 'N', 'P', '3202', 'AdolphWalton');
Insert into UfAffiliate values(13284336, 'MDupras5500@ufl.edu', '761-853-5290', 'Y', 'E', '3203', 'MarceloDupras');
Insert into UfAffiliate values(76799972, 'JKerson4396@ufl.edu', '126-914-6681', 'N', 'F', '3204', 'JeroldKerson');
Insert into UfAffiliate values(68120546, 'MSteinkamp8641@ufl.edu', '622-986-4034', 'N', 'F', '3205', 'MartinSteinkamp');
Insert into UfAffiliate values(54145274, 'GGillin7319@ufl.edu', '708-141-2649', 'N', 'F', '3206', 'GilbertoGillin');
Insert into UfAffiliate values(86718931, 'CDee158@ufl.edu', '733-783-3729', 'N', 'F', '3207', 'ClayDee');
Insert into UfAffiliate values(40275579, 'LAndersson3257@ufl.edu', '803-974-4052', 'N', 'F', '3208', 'LukeAndersson');
Insert into UfAffiliate values(19800302, 'DKassebaum5376@ufl.edu', '795-276-8882', 'Y', 'P', '3209', 'DaltonKassebaum');
Insert into UfAffiliate values(37306533, 'HJourdain4802@ufl.edu', '932-624-3579', 'N', 'F', '3210', 'HunterJourdain');
Insert into UfAffiliate values(66245530, 'ELiptok9383@ufl.edu', '865-139-8668', 'N', 'F', '3211', 'EltonLiptok');
Insert into UfAffiliate values(95572056, 'EMulanax900@ufl.edu', '258-339-1885', 'N', 'F', '3212', 'EmilieMulanax');
Insert into UfAffiliate values(59023194, 'CConsolver820@ufl.edu', '754-499-3640', 'N', 'F', '3213', 'CruzConsolver');
Insert into UfAffiliate values(24161486, 'RDubord7037@ufl.edu', '211-955-9914', 'Y', 'P', '3214', 'RomanDubord');
Insert into UfAffiliate values(88473361, 'SBonge2926@ufl.edu', '619-578-1844', 'N', 'F', '3215', 'ShayneBonge');
Insert into UfAffiliate values(56266021, 'FPippens6770@ufl.edu', '497-463-5548', 'N', 'F', '3216', 'FionaPippens');
Insert into UfAffiliate values(24272145, 'KSchrantz3497@ufl.edu', '673-746-7925', 'N', 'F', '3217', 'KatrinaSchrantz');
Insert into UfAffiliate values(29469597, 'CMccorison9688@ufl.edu', '574-486-2994', 'N', 'F', '3218', 'CharleenMccorison');
Insert into UfAffiliate values(34829944, 'JApa2403@ufl.edu', '419-263-9526', 'Y', 'P', '3219', 'JaimieApa');
Insert into UfAffiliate values(29410847, 'FSchinkel1394@ufl.edu', '666-115-3952', 'N', 'F', '3220', 'FernandaSchinkel');
Insert into UfAffiliate values(12414808, 'CKalbfleisch1199@ufl.edu', '166-551-5742', 'N', 'F', '3221', 'CarltonKalbfleisch');
Insert into UfAffiliate values(12145262, 'CLeason5111@ufl.edu', '308-401-7299', 'N', 'F', '3222', 'ChetLeason');
Insert into UfAffiliate values(66377817, 'JStickford1817@ufl.edu', '906-482-3372', 'N', 'F', '3223', 'JovanStickford');
Insert into UfAffiliate values(97278562, 'DCausby6336@ufl.edu', '721-106-8427', 'N', 'F', '3224', 'DemetriusCausby');
Insert into UfAffiliate values(98098323, 'MKellin7696@ufl.edu', '764-875-1346', 'N', 'F', '3225', 'MarlinKellin');
Insert into UfAffiliate values(79943576, 'DHumenik7474@ufl.edu', '377-856-4822', 'N', 'F', '3226', 'DarnellHumenik');
Insert into UfAffiliate values(86737417, 'TRattanachane7676@ufl.edu', '311-987-4135', 'N', 'F', '3227', 'ThurmanRattanachane');
Insert into UfAffiliate values(59357519, 'CSipho7389@ufl.edu', '338-668-6240', 'Y', 'P', '3228', 'CeliaSipho');
Insert into UfAffiliate values(10471674, 'CKamstra5765@ufl.edu', '112-799-7602', 'Y', 'E', '3229', 'ChristoperKamstra');
Insert into UfAffiliate values(70641869, 'EMorman3588@ufl.edu', '391-118-6822', 'N', 'E', '3230', 'ElliottMorman');
Insert into UfAffiliate values(51983724, 'LJempty2575@ufl.edu', '319-254-3062', 'N', 'F', '3231', 'LeighJempty');
Insert into UfAffiliate values(18195172, 'ESkildum6875@ufl.edu', '471-976-9902', 'N', 'F', '3232', 'EmmanuelSkildum');
Insert into UfAffiliate values(95468180, 'EAbdulaziz3537@ufl.edu', '345-267-2510', 'N', 'F', '3233', 'ErichAbdulaziz');
Insert into UfAffiliate values(35815933, 'ADibrell7528@ufl.edu', '190-367-8813', 'N', 'F', '3234', 'AlphonseDibrell');
Insert into UfAffiliate values(16126772, 'EPartman672@ufl.edu', '888-863-4328', 'N', 'F', '3235', 'EmaPartman');
Insert into UfAffiliate values(79108977, 'HPiedigrossi3046@ufl.edu', '902-124-9577', 'N', 'F', '3236', 'HobertPiedigrossi');
Insert into UfAffiliate values(42388421, 'HLapari8267@ufl.edu', '141-932-7982', 'N', 'F', '3237', 'HassanLapari');
Insert into UfAffiliate values(70934268, 'VTrujillo9139@ufl.edu', '736-754-2330', 'N', 'F', '3238', 'VanceTrujillo');
Insert into UfAffiliate values(46933415, 'JKrumins8039@ufl.edu', '134-928-6485', 'N', 'F', '3239', 'JacintaKrumins');
Insert into UfAffiliate values(29076932, 'JDruck6802@ufl.edu', '524-855-8857', 'Y', 'E', '3240', 'JospehDruck');
Insert into UfAffiliate values(15247182, 'VKnap4896@ufl.edu', '102-161-2892', 'N', 'F', '3241', 'VonKnap');
Insert into UfAffiliate values(72031107, 'PCabanela2006@ufl.edu', '597-122-8622', 'N', 'F', '3242', 'PaulitaCabanela');
Insert into UfAffiliate values(55195372, 'WStrathy3696@ufl.edu', '114-136-1477', 'N', 'F', '3243', 'WendieStrathy');
Insert into UfAffiliate values(79474029, 'RBennafield562@ufl.edu', '409-346-6842', 'N', 'F', '3244', 'RichardBennafield');
Insert into UfAffiliate values(74988615, 'TDesher1540@ufl.edu', '576-402-1503', 'N', 'F', '3245', 'ThersaDesher');
Insert into UfAffiliate values(62016686, 'CEblen2328@ufl.edu', '665-273-4487', 'N', 'F', '3246', 'CarmeloEblen');
Insert into UfAffiliate values(89612582, 'JPorat9524@ufl.edu', '213-549-7082', 'N', 'F', '3247', 'JamarPorat');
Insert into UfAffiliate values(12440796, 'MSeaberry1012@ufl.edu', '649-558-7953', 'N', 'F', '3248', 'MireyaSeaberry');
Insert into UfAffiliate values(94461821, 'HZemjanis6219@ufl.edu', '687-548-1275', 'N', 'F', '3249', 'HankZemjanis');
Insert into UfAffiliate values(65980449, 'ALafoy9570@ufl.edu', '241-745-3336', 'N', 'F', '3250', 'AnishaLafoy');
Insert into UfAffiliate values(90651950, 'STudor6996@ufl.edu', '691-591-7152', 'N', 'F', '3251', 'ShalonTudor');
Insert into UfAffiliate values(90409920, 'BMcgregory3040@ufl.edu', '966-740-8554', 'N', 'F', '3252', 'BrooksMcgregory');
Insert into UfAffiliate values(36129352, 'KKuh2280@ufl.edu', '449-344-8660', 'N', 'F', '3253', 'KiethKuh');
Insert into UfAffiliate values(63633341, 'MBicek7195@ufl.edu', '368-403-1784', 'N', 'F', '3254', 'MonicaBicek');
Insert into UfAffiliate values(55628989, 'KMireles1777@ufl.edu', '277-750-7307', 'N', 'F', '3255', 'KenethMireles');
Insert into UfAffiliate values(36588162, 'IBurge4528@ufl.edu', '382-297-4665', 'N', 'F', '3256', 'IgnaciaBurge');
Insert into UfAffiliate values(17012603, 'DSeubert7656@ufl.edu', '193-340-6607', 'Y', 'P', '3257', 'DeedraSeubert');
Insert into UfAffiliate values(77464950, 'NHaste1055@ufl.edu', '484-915-1853', 'N', 'P', '3258', 'NickyHaste');
Insert into UfAffiliate values(92258519, 'IAcri5217@ufl.edu', '760-546-1917', 'N', 'F', '3259', 'IlonaAcri');
Insert into UfAffiliate values(70961494, 'AKirker5580@ufl.edu', '494-257-3010', 'N', 'F', '3260', 'ArianneKirker');
Insert into UfAffiliate values(21872997, 'JVidinha9972@ufl.edu', '324-272-4614', 'N', 'F', '3261', 'JoanVidinha');
Insert into UfAffiliate values(19590126, 'RUrmston6140@ufl.edu', '152-368-2972', 'Y', 'P', '3262', 'RosannUrmston');
Insert into UfAffiliate values(51874222, 'KBeser6077@ufl.edu', '824-602-9133', 'N', 'F', '3263', 'KeithBeser');
Insert into UfAffiliate values(29651626, 'PKalp5940@ufl.edu', '818-811-8402', 'Y', 'P', '3264', 'PennieKalp');
Insert into UfAffiliate values(58138332, 'ADeputy2573@ufl.edu', '132-178-9615', 'N', 'F', '3265', 'AlfredDeputy');
Insert into UfAffiliate values(42645971, 'DBrault4461@ufl.edu', '992-428-5150', 'N', 'F', '3266', 'DesmondBrault');
Insert into UfAffiliate values(11884218, 'CBrownd7491@ufl.edu', '481-511-4649', 'N', 'E', '3267', 'CristinaBrownd');
Insert into UfAffiliate values(88020534, 'TZhen515@ufl.edu', '673-522-8461', 'N', 'P', '3268', 'ThadZhen');
Insert into UfAffiliate values(38033331, 'ZCurrens2563@ufl.edu', '200-180-7910', 'N', 'F', '3269', 'ZenobiaCurrens');
Insert into UfAffiliate values(83331280, 'TKayes680@ufl.edu', '626-310-8330', 'N', 'P', '3270', 'TyKayes');
Insert into UfAffiliate values(90163904, 'BOntiveros3616@ufl.edu', '768-561-3447', 'N', 'F', '3271', 'BlanchOntiveros');
Insert into UfAffiliate values(81402028, 'JLifton8083@ufl.edu', '860-716-6380', 'N', 'P', '3272', 'JanuaryLifton');
Insert into UfAffiliate values(39767306, 'SOlin6025@ufl.edu', '122-610-9119', 'N', 'F', '3273', 'SolOlin');
Insert into UfAffiliate values(39985467, 'ASprankle834@ufl.edu', '825-475-8748', 'Y', 'P', '3274', 'AlexisSprankle');
Insert into UfAffiliate values(52735306, 'MDurough2100@ufl.edu', '281-124-7739', 'N', 'F', '3275', 'MelodyDurough');
Insert into UfAffiliate values(76913657, 'CMaskell1875@ufl.edu', '473-218-9839', 'N', 'F', '3276', 'CoreyMaskell');
Insert into UfAffiliate values(43869305, 'DEstronza5597@ufl.edu', '114-860-7303', 'N', 'F', '3277', 'DalilaEstronza');
Insert into UfAffiliate values(52898340, 'TMathony2592@ufl.edu', '869-291-7272', 'N', 'F', '3278', 'TeddyMathony');
Insert into UfAffiliate values(76831025, 'VBogner1026@ufl.edu', '599-159-4600', 'N', 'F', '3279', 'VeronaBogner');
Insert into UfAffiliate values(10856158, 'BSmarsh6928@ufl.edu', '152-719-2866', 'N', 'F', '3280', 'BudSmarsh');
Insert into UfAffiliate values(37203615, 'BWalth119@ufl.edu', '951-861-7482', 'N', 'F', '3281', 'BrettWalth');
Insert into UfAffiliate values(95554835, 'LBeams177@ufl.edu', '418-423-6580', 'N', 'F', '3282', 'LarissaBeams');
Insert into UfAffiliate values(33187212, 'SAltmire7188@ufl.edu', '888-463-2652', 'N', 'F', '3283', 'ShardaAltmire');
Insert into UfAffiliate values(46756476, 'SForbs4624@ufl.edu', '483-329-8841', 'N', 'F', '3284', 'SherleyForbs');
Insert into UfAffiliate values(92736086, 'CWeatherly5141@ufl.edu', '803-975-6704', 'N', 'F', '3285', 'CoraWeatherly');
Insert into UfAffiliate values(84809780, 'CTarrenis2962@ufl.edu', '373-723-9350', 'Y', 'P', '3286', 'ChristenaTarrenis');
Insert into UfAffiliate values(82068247, 'GHaus9291@ufl.edu', '804-825-5460', 'N', 'F', '3287', 'GerryHaus');
Insert into UfAffiliate values(13788911, 'EKershbaumer4916@ufl.edu', '955-162-1993', 'N', 'F', '3288', 'EldonKershbaumer');
Insert into UfAffiliate values(93572225, 'BLiano402@ufl.edu', '637-123-9050', 'Y', 'P', '3289', 'BernieLiano');
Insert into UfAffiliate values(40512214, 'LSangalli3515@ufl.edu', '106-609-4327', 'Y', 'E', '3290', 'LeighSangalli');
Insert into UfAffiliate values(52681614, 'CIssac8122@ufl.edu', '677-383-8806', 'N', 'F', '3291', 'CathyIssac');
Insert into UfAffiliate values(21647260, 'BUhde9855@ufl.edu', '158-875-2534', 'N', 'P', '3292', 'BetsyUhde');
Insert into UfAffiliate values(46133195, 'HElfert5843@ufl.edu', '392-447-8411', 'N', 'F', '3293', 'HolliElfert');
Insert into UfAffiliate values(52645162, 'BPeery7750@ufl.edu', '256-768-8676', 'N', 'F', '3294', 'BlainePeery');
Insert into UfAffiliate values(70710708, 'EEberst9092@ufl.edu', '960-461-5015', 'Y', 'E', '3295', 'ElouiseEberst');
Insert into UfAffiliate values(72531825, 'SOlesnevich1545@ufl.edu', '973-716-5171', 'N', 'F', '3296', 'ShariceOlesnevich');
Insert into UfAffiliate values(20813459, 'WCroucher3204@ufl.edu', '152-659-9523', 'N', 'P', '3297', 'WyattCroucher');
Insert into UfAffiliate values(17870345, 'MJoly6199@ufl.edu', '768-847-3690', 'N', 'P', '3298', 'MarshallJoly');
Insert into UfAffiliate values(22445388, 'KGranby664@ufl.edu', '223-771-2407', 'N', 'F', '3299', 'KipGranby');
Insert into UfAffiliate values(48183938, 'TAjasin2139@ufl.edu', '480-137-2496', 'N', 'F', '3300', 'ThomasineAjasin');
Insert into UfAffiliate values(93113791, 'PSteckelberg7777@ufl.edu', '229-886-9075', 'Y', 'P', '3301', 'PeggySteckelberg');
Insert into UfAffiliate values(37187935, 'DCollen4718@ufl.edu', '340-256-4315', 'Y', 'P', '3302', 'DarrenCollen');
Insert into UfAffiliate values(53221556, 'JModglin4572@ufl.edu', '579-362-5964', 'Y', 'P', '3303', 'JerrodModglin');
Insert into UfAffiliate values(83803224, 'PGoughnour8340@ufl.edu', '299-544-8845', 'N', 'F', '3304', 'PinkieGoughnour');
Insert into UfAffiliate values(85305324, 'HPosnick8489@ufl.edu', '861-331-8012', 'N', 'F', '3305', 'HortensiaPosnick');
Insert into UfAffiliate values(22025942, 'RRold5463@ufl.edu', '438-381-2105', 'N', 'F', '3306', 'RaymundoRold');
Insert into UfAffiliate values(49977329, 'KSouvannakhily4415@ufl.edu', '488-387-2556', 'N', 'F', '3307', 'KentSouvannakhily');
Insert into UfAffiliate values(83311305, 'NHeldreth5925@ufl.edu', '303-698-2972', 'N', 'F', '3308', 'NedHeldreth');
Insert into UfAffiliate values(79233733, 'KHeitner3845@ufl.edu', '639-282-8184', 'N', 'F', '3309', 'KirstieHeitner');
Insert into UfAffiliate values(84249296, 'FCalonsag128@ufl.edu', '279-523-8686', 'N', 'F', '3310', 'FarahCalonsag');
Insert into UfAffiliate values(54935664, 'JEscott9776@ufl.edu', '959-483-5130', 'Y', 'P', '3311', 'JuniorEscott');
Insert into UfAffiliate values(89651000, 'JStrassell9277@ufl.edu', '855-169-5463', 'N', 'F', '3312', 'JeffreyStrassell');
Insert into UfAffiliate values(52714426, 'AFarney6773@ufl.edu', '347-986-9410', 'Y', 'P', '3313', 'AlbertaFarney');
Insert into UfAffiliate values(84904472, 'JRohaley8802@ufl.edu', '550-738-6048', 'N', 'F', '3314', 'JerrieRohaley');
Insert into UfAffiliate values(36016671, 'CKrall7426@ufl.edu', '416-421-3250', 'Y', 'E', '3315', 'CarisaKrall');
Insert into UfAffiliate values(39072072, 'SMusinski5226@ufl.edu', '918-991-5200', 'N', 'F', '3316', 'SonMusinski');
Insert into UfAffiliate values(52193339, 'HTarsis6308@ufl.edu', '693-711-2227', 'N', 'F', '3317', 'HueTarsis');
Insert into UfAffiliate values(49903604, 'THupka1508@ufl.edu', '192-721-8609', 'Y', 'P', '3318', 'ToccaraHupka');
Insert into UfAffiliate values(46761233, 'MBottgenbach8877@ufl.edu', '489-679-9347', 'N', 'F', '3319', 'MorganBottgenbach');
